iter	Passed	Remaining
0	1	1497
1	1	980
2	3	1014
3	3	994
4	5	1029
5	6	1025
6	7	1014
7	8	996
8	8	935
9	9	930
10	10	935
11	11	921
12	12	919
13	13	919
14	14	921
15	15	951
16	16	946
17	17	937
18	18	931
19	18	927
20	19	912
21	20	889
22	20	885
23	21	883
24	22	880
25	23	882
26	24	881
27	25	877
28	26	875
29	27	873
30	27	869
31	28	868
32	29	866
33	30	865
34	31	863
35	32	860
36	33	865
37	34	866
38	35	864
39	35	863
40	36	860
41	37	856
42	38	854
43	39	853
44	40	850
45	40	847
46	41	849
47	42	848
48	43	846
49	44	843
50	45	842
51	46	842
52	48	857
53	49	861
54	50	862
55	51	860
56	51	858
57	52	857
58	53	857
59	54	855
60	55	854
61	56	855
62	57	854
63	58	853
64	59	853
65	60	852
66	61	850
67	61	848
68	62	847
69	63	845
70	64	844
71	65	842
72	66	840
73	67	838
74	67	837
75	68	834
76	69	832
77	70	830
78	71	830
79	72	828
80	72	828
81	73	825
82	74	824
83	75	822
84	76	821
85	77	819
86	78	821
87	79	822
88	80	822
89	81	822
90	82	822
91	83	820
92	84	820
93	85	820
94	85	818
95	86	816
96	87	814
97	88	813
98	89	812
99	90	810
100	90	809
101	91	807
102	92	807
103	93	806
104	94	805
105	95	805
106	96	808
107	97	806
108	98	806
109	99	805
110	100	804
111	101	802
112	101	799
113	102	798
114	103	796
115	104	796
116	105	794
117	106	793
118	107	792
119	107	790
120	108	790
121	109	790
122	110	789
123	111	788
124	112	788
125	113	787
126	117	805
127	118	806
128	119	807
129	120	807
130	121	807
131	122	808
132	124	808
133	125	808
134	126	808
135	126	805
136	128	807
137	129	807
138	130	807
139	131	807
140	132	808
141	133	808
142	134	808
143	135	808
144	137	808
145	138	808
146	139	808
147	140	808
148	141	807
149	142	808
150	143	808
151	144	808
152	145	806
153	146	805
154	147	806
155	149	806
156	150	806
157	151	806
158	152	805
159	153	805
160	154	804
161	155	804
162	156	803
163	157	805
164	159	805
165	160	805
166	161	804
167	162	805
168	163	806
169	165	806
170	166	806
171	167	806
172	168	806
173	169	805
174	170	805
175	172	805
176	173	804
177	174	804
178	175	803
179	176	802
180	177	803
181	178	803
182	179	802
183	180	801
184	181	800
185	182	800
186	183	799
187	185	799
188	185	797
189	186	796
190	187	795
191	188	795
192	191	800
193	192	800
194	193	799
195	195	803
196	198	808
197	199	810
198	202	813
199	203	812
200	205	816
201	207	819
202	208	818
203	209	818
204	210	816
205	211	815
206	212	813
207	213	812
208	214	811
209	215	810
210	216	808
211	217	806
212	217	804
213	218	803
214	219	801
215	221	803
216	224	808
217	225	809
218	226	808
