Model,Stage,MCC_median,95% CI (MCC),AUC_median,BA_median,F1_median,Recall_median,Precision_median
CatBoost,Tuned,0.586,"[0.541, 0.631]",0.872,0.794,0.769,0.773,0.778
CatBoost,Default,0.616,"[0.585, 0.631]",0.883,0.803,0.78,0.773,0.81
GNB,Tuned,0.56,"[0.512, 0.585]",0.886,0.767,0.771,0.864,0.678
GNB,Default,0.56,"[0.512, 0.585]",0.886,0.767,0.771,0.864,0.678
LDA,Tuned,0.654,"[0.623, 0.706]",0.896,0.821,0.791,0.773,0.854
LDA,Default,0.654,"[0.623, 0.706]",0.896,0.821,0.791,0.773,0.854
LR_ElasticNet,Tuned,0.67,"[0.624, 0.684]",0.902,0.83,0.81,0.773,0.85
LR_ElasticNet,Default,0.678,"[0.624, 0.712]",0.905,0.832,0.814,0.783,0.862
LightGBM,Tuned,0.58,"[0.542, 0.623]",0.861,0.783,0.764,0.756,0.787
LightGBM,Default,0.583,"[0.527, 0.600]",0.862,0.788,0.773,0.773,0.773
RF,Tuned,0.588,"[0.569, 0.642]",0.888,0.793,0.773,0.756,0.8
RF,Default,0.588,"[0.549, 0.664]",0.878,0.791,0.766,0.739,0.796
XGBoost,Tuned,0.545,"[0.512, 0.585]",0.861,0.769,0.747,0.773,0.767
XGBoost,Default,0.549,"[0.537, 0.594]",0.869,0.774,0.761,0.773,0.771
